,tweet,username,date,time,likes_count,cleaned_tweets
1400,Here's how the largest stocks have performed so far today  Apple $AAPL -0.2% Microsoft $MSFT -0.4% Google $GOOGL +0.4% Amazon $AMZN -0.2% Facebook $FB +1.8% Tesla $TSLA +1.5% Taiwan Semi $TSM -0.3% Berkshire $BRK.B -0.04% Nvidia $NVDA -1.7% Visa $V +1.2% $JPM +1.2% $BABA -3.6%,stockmktnewz,2021-09-25,00:45:36,14,here's largest stocks performed far today apple aapl -0 2 microsoft msft -0 4 google googl 0 4 amazon amzn -0 2 facebook fb 1 8 tesla tsla 1 5 taiwan semi tsm -0 3 berkshire brk b -0 04 nvidia nvda -1 7 visa 1 2 jpm 1 2 baba -3 6
1428,"Very impressive resume, @Harvard MBA, Excellence Award for his outstanding work at $AAPL, McKinsey &amp; Transom Capital,  Andrés is the right person at the right time! $ABML American Battery Technology Company @abt_company",jonnajarian,2021-09-25,00:33:48,47,impressive resume mba excellence award outstanding work aapl mckinsey amp transom capital andrés right person right time abml american battery technology company
1432,Most discussed tickers on WallStreetBets over the last Week according to @SwaggyStocks  1 Canoo $GOEV 2 ContextLogic $WISH 3 Nike $NKE 4 Alibaba $BABA 5 Tesla $TSLA 6 Palantir $PLTR 7 Blackberry $BB 8 SmileDirectClub $SDC 9 $SOFI 10 Apple $AAPL,stockmktnewz,2021-09-25,00:32:44,14,discussed tickers wallstreetbets last week according 1 canoo goev 2 contextlogic wish 3 nike nke 4 alibaba baba 5 tesla tsla 6 palantir pltr 7 blackberry bb 8 smiledirectclub sdc 9 sofi 10 apple aapl
1453,my favorite options rinse and repeat plays $NVDA $AMD $AAPL  I can literally play these EVERY DAY,meetsung,2021-09-25,00:21:23,16,favorite options rinse repeat plays nvda amd aapl literally play every day
1461,Todays most active stock options $F $TSLA $FB $AAPL $CRM $NVDA $SOFI $PLTR $AFRM $AMD  https://t.co/7yHQuDPbjJ,upboptionmil,2021-09-25,00:19:48,17,todays active stock options f tsla fb aapl crm nvda sofi pltr afrm amd
1479,$AAPL  Has more to go down.  https://t.co/cTDvla0ObI,mfhoz,2021-09-25,00:11:10,80,aapl go
1523,This week's most popular buys  🍿 AMC $AMC ↔️ 🇺🇸 S&amp;P 500 $VUSA ⬆️ 🔊 Aterian $ATER ⬇️ ⚡️ Tesla $TSLA ⬆️ 🇬🇧 FTSE 100 $FTSE ⬆️ 🍏 Apple $AAPL ↔️ 🦷 Smile Direct Club $SDC ⬆️ 🎮 Gamestop $GME ⬇️ 🔤 Alphabet $GOOGL 🔙 ⚡️ Lucid Group $LCID 🔙  *total cash value. Capital at risk,freetrade,2021-09-24,23:50:32,14,week's popular buys amc amc amp p 500 vusa aterian ater tesla tsla ftse 100 ftse apple aapl smile direct club sdc gamestop gme alphabet googl lucid group lcid total cash value capital risk
1530,Best and worst performing Dow Jones stocks so far today  Best: 1 Salesforce $CRM 2 Merck $MRK 3 Visa $V 4 JPMorgan $JPM 5 American Express $AXP 6 $IBM 7 Chevron $CVX  Worst: 1 Nike $NKE 2 Microsoft $MSFT 3 $DOW 4 Amgen $AMGN 5 UnitedHealth $UNH 6 Apple $AAPL 7 Goldman $GS,stockmktnewz,2021-09-24,23:48:31,13,best worst performing dow jones stocks far today best 1 salesforce crm 2 merck mrk 3 visa 4 jpmorgan jpm 5 american express axp 6 ibm 7 chevron cvx worst 1 nike nke 2 microsoft msft 3 dow 4 amgen amgn 5 unitedhealth unh 6 apple aapl 7 goldman gs
1532,$T $AAPL $AMZN $GOOGL $MSFT $TMUS $VZ,carlquintanilla,2021-09-24,23:48:02,17,aapl amzn googl msft tmus vz
1581,"$AAPL Sweeper Alert 🍎  2,777 x 19NOV21 150C = $1.11M  Premium: $4 (ASKSIDE)  Spot: 146.04",thetawarrior,2021-09-24,23:28:30,73,aapl sweeper alert 2 777 x 19nov21 150c 1 11m premium 4 askside spot 146 04
